[2026-02-15 04:20:22.852] [workload] [debug] callback,sys->id=3, tick=260112404013, node->id=29085, node->name=COMP_NODE_FWD_iter12_b6_ffwd_compute, node->type=4
[2026-02-15 04:20:22.852] [workload] [debug] issue,sys->id=3, tick=260112404013, node->id=29086, node->name=COMP_NODE_FWD_iter12_b6_attention_compute, node->type=4
[2026-02-15 04:20:22.852] [workload] [debug] callback,sys->id=1, tick=260112404014, node->id=13022, node->name=COMP_NODE_FWD_iter12_b6_attention_compute, node->type=4
[2026-02-15 04:20:22.852] [workload] [debug] issue,sys->id=1, tick=260112404014, node->id=13023, node->name=COMP_NODE_FWD_iter12_b6_ffwd_compute, node->type=4
[2026-02-15 04:20:22.852] [workload] [debug] callback,sys->id=3, tick=260112404014, node->id=29086, node->name=COMP_NODE_FWD_iter12_b6_attention_compute, node->type=4
[2026-02-15 04:20:22.852] [workload] [debug] issue,sys->id=3, tick=260112404014, node->id=29087, node->name=COMP_NODE_FWD_iter12_b6_ffwd_compute, node->type=4
[2026-02-15 04:20:22.852] [workload] [debug] callback,sys->id=1, tick=260112404015, node->id=13023, node->name=COMP_NODE_FWD_iter12_b6_ffwd_compute, node->type=4
[2026-02-15 04:20:22.852] [workload] [debug] issue,sys->id=1, tick=260112404015, node->id=13024, node->name=COMP_NODE_FWD_iter12_b6_attention_compute, node->type=4
[2026-02-15 04:20:22.852] [workload] [debug] callback,sys->id=3, tick=260112404015, node->id=29087, node->name=COMP_NODE_FWD_iter12_b6_ffwd_compute, node->type=4
[2026-02-15 04:20:22.852] [workload] [debug] issue,sys->id=3, tick=260112404015, node->id=29088, node->name=COMP_NODE_FWD_iter12_b6_attention_compute, node->type=4
[2026-02-15 04:20:22.852] [workload] [debug] callback,sys->id=1, tick=260112404016, node->id=13024, node->name=COMP_NODE_FWD_iter12_b6_attention_compute, node->type=4
[2026-02-15 04:20:22.852] [workload] [debug] issue,sys->id=1, tick=260112404016, node->id=13025, node->name=COMP_NODE_FWD_iter12_b6_ffwd_compute, node->type=4
[2026-02-15 04:20:22.852] [workload] [debug] callback,sys->id=3, tick=260112404016, node->id=29088, node->name=COMP_NODE_FWD_iter12_b6_attention_compute, node->type=4
[2026-02-15 04:20:22.852] [workload] [debug] issue,sys->id=3, tick=260112404016, node->id=29089, node->name=COMP_NODE_FWD_iter12_b6_ffwd_compute, node->type=4
[2026-02-15 04:20:22.852] [workload] [debug] callback,sys->id=1, tick=260112404017, node->id=13025, node->name=COMP_NODE_FWD_iter12_b6_ffwd_compute, node->type=4
[2026-02-15 04:20:22.852] [workload] [debug] issue,sys->id=1, tick=260112404017, node->id=13026, node->name=COMP_NODE_FWD_iter12_b6_attention_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] callback,sys->id=3, tick=260112404017, node->id=29089, node->name=COMP_NODE_FWD_iter12_b6_ffwd_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] issue,sys->id=3, tick=260112404017, node->id=29090, node->name=COMP_NODE_FWD_iter12_b6_attention_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] callback,sys->id=1, tick=260112404018, node->id=13026, node->name=COMP_NODE_FWD_iter12_b6_attention_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] issue,sys->id=1, tick=260112404018, node->id=13027, node->name=COMP_NODE_FWD_iter12_b6_ffwd_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] callback,sys->id=3, tick=260112404018, node->id=29090, node->name=COMP_NODE_FWD_iter12_b6_attention_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] issue,sys->id=3, tick=260112404018, node->id=29091, node->name=COMP_NODE_FWD_iter12_b6_ffwd_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] callback,sys->id=1, tick=260112404019, node->id=13027, node->name=COMP_NODE_FWD_iter12_b6_ffwd_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] issue,sys->id=1, tick=260112404019, node->id=13028, node->name=COMM_RECV_NODE_FWD_iter12_b7_dp0pp1tp0, node->type=6
[2026-02-15 04:20:22.853] [workload] [debug] callback,sys->id=3, tick=260112404019, node->id=29091, node->name=COMP_NODE_FWD_iter12_b6_ffwd_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] issue,sys->id=3, tick=260112404019, node->id=29092, node->name=COMM_RECV_NODE_FWD_iter12_b7_dp1pp1tp0, node->type=6
[2026-02-15 04:20:22.853] [workload] [debug] callback,sys->id=0, tick=260118654495, node->id=5020, node->name=COMM_SEND_NODE_FWD_iter12_b7_dp0pp0tp0, node->type=5
[2026-02-15 04:20:22.853] [workload] [debug] callback,sys->id=1, tick=260118654495, node->id=13028, node->name=COMM_RECV_NODE_FWD_iter12_b7_dp0pp1tp0, node->type=6
[2026-02-15 04:20:22.853] [workload] [debug] issue,sys->id=1, tick=260118654495, node->id=13029, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] callback,sys->id=2, tick=260118654495, node->id=21084, node->name=COMM_SEND_NODE_FWD_iter12_b7_dp1pp0tp0, node->type=5
[2026-02-15 04:20:22.853] [workload] [debug] callback,sys->id=3, tick=260118654495, node->id=29092, node->name=COMM_RECV_NODE_FWD_iter12_b7_dp1pp1tp0, node->type=6
[2026-02-15 04:20:22.853] [workload] [debug] issue,sys->id=3, tick=260118654495, node->id=29093, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] callback,sys->id=1, tick=260118654496, node->id=13029, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] issue,sys->id=1, tick=260118654496, node->id=13030, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] callback,sys->id=3, tick=260118654496, node->id=29093, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] issue,sys->id=3, tick=260118654496, node->id=29094, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] callback,sys->id=1, tick=260118654497, node->id=13030, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] issue,sys->id=1, tick=260118654497, node->id=13031, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] callback,sys->id=3, tick=260118654497, node->id=29094, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] issue,sys->id=3, tick=260118654497, node->id=29095, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] callback,sys->id=1, tick=260118654498, node->id=13031, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] issue,sys->id=1, tick=260118654498, node->id=13032, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] callback,sys->id=3, tick=260118654498, node->id=29095, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] issue,sys->id=3, tick=260118654498, node->id=29096, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] callback,sys->id=1, tick=260118654499, node->id=13032, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] issue,sys->id=1, tick=260118654499, node->id=13033, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.853] [workload] [debug] callback,sys->id=3, tick=260118654499, node->id=29096, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.854] [workload] [debug] issue,sys->id=3, tick=260118654499, node->id=29097, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.854] [workload] [debug] callback,sys->id=1, tick=260118654500, node->id=13033, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.854] [workload] [debug] issue,sys->id=1, tick=260118654500, node->id=13034, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.854] [workload] [debug] callback,sys->id=3, tick=260118654500, node->id=29097, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.854] [workload] [debug] issue,sys->id=3, tick=260118654500, node->id=29098, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.854] [workload] [debug] callback,sys->id=1, tick=260118654501, node->id=13034, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.854] [workload] [debug] issue,sys->id=1, tick=260118654501, node->id=13035, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.854] [workload] [debug] callback,sys->id=3, tick=260118654501, node->id=29098, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.854] [workload] [debug] issue,sys->id=3, tick=260118654501, node->id=29099, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.854] [workload] [debug] callback,sys->id=1, tick=260118654502, node->id=13035, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.854] [workload] [debug] issue,sys->id=1, tick=260118654502, node->id=13036, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.854] [workload] [debug] callback,sys->id=3, tick=260118654502, node->id=29099, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] issue,sys->id=3, tick=260118654502, node->id=29100, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] callback,sys->id=1, tick=260118654503, node->id=13036, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] issue,sys->id=1, tick=260118654503, node->id=13037, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] callback,sys->id=3, tick=260118654503, node->id=29100, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] issue,sys->id=3, tick=260118654503, node->id=29101, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] callback,sys->id=1, tick=260118654504, node->id=13037, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] issue,sys->id=1, tick=260118654504, node->id=13038, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] callback,sys->id=3, tick=260118654504, node->id=29101, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] issue,sys->id=3, tick=260118654504, node->id=29102, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] callback,sys->id=1, tick=260118654505, node->id=13038, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] issue,sys->id=1, tick=260118654505, node->id=13039, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] callback,sys->id=3, tick=260118654505, node->id=29102, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] issue,sys->id=3, tick=260118654505, node->id=29103, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] callback,sys->id=1, tick=260118654506, node->id=13039, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] issue,sys->id=1, tick=260118654506, node->id=13040, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] callback,sys->id=3, tick=260118654506, node->id=29103, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] issue,sys->id=3, tick=260118654506, node->id=29104, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] callback,sys->id=1, tick=260118654507, node->id=13040, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] issue,sys->id=1, tick=260118654507, node->id=13041, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] callback,sys->id=3, tick=260118654507, node->id=29104, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] issue,sys->id=3, tick=260118654507, node->id=29105, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] callback,sys->id=1, tick=260118654508, node->id=13041, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] issue,sys->id=1, tick=260118654508, node->id=13042, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] callback,sys->id=3, tick=260118654508, node->id=29105, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] issue,sys->id=3, tick=260118654508, node->id=29106, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] callback,sys->id=1, tick=260118654509, node->id=13042, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] issue,sys->id=1, tick=260118654509, node->id=13043, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] callback,sys->id=3, tick=260118654509, node->id=29106, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] issue,sys->id=3, tick=260118654509, node->id=29107, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] callback,sys->id=1, tick=260118654510, node->id=13043, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] issue,sys->id=1, tick=260118654510, node->id=13044, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] callback,sys->id=3, tick=260118654510, node->id=29107, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] issue,sys->id=3, tick=260118654510, node->id=29108, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] callback,sys->id=1, tick=260118654511, node->id=13044, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] issue,sys->id=1, tick=260118654511, node->id=13045, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] callback,sys->id=3, tick=260118654511, node->id=29108, node->name=COMP_NODE_FWD_iter12_b7_ffwd_compute, node->type=4
[2026-02-15 04:20:22.855] [workload] [debug] issue,sys->id=3, tick=260118654511, node->id=29109, node->name=COMP_NODE_FWD_iter12_b7_attention_compute, node->type=4
